Fecha - Hora,Contenido,Imagen,Timestamp
8:10 AM - 11 Jul 2019,"#CulturaDiversa  
 
La novela, de corte feminista, relata la historia de Lupe, quien a través de sus experiencias, su amistad con otras mujeres y su relación amorosa con Claudia invita a las lectoras a reflexionar sobre el “papel” de las mujeres en la sociedad.",https://pbs.twimg.com/media/D_M9Tw4WwAAdgPx.jpg,1562850600.0
7:16 AM - 11 Jul 2019,"In Memoriam 

El escritor y periodista Armando Ramírez –célebre cronista del barrio de Tepito– será despedido por la comunidad literaria y su familia en el Centro de Creación Literaria Xavier Villaurrutia (@CCLXV).

Jueves 11 de julio, 11 a 21 h
Nuevo León 91, col. Hipódromo",https://pbs.twimg.com/media/D_MzXd7U0AA5YVe.jpg,1562847360.0
5:07 AM - 11 Jul 2019,"Buenos días Esta es una de las más de 100 piezas que exhibe el Museo de Sitio –inaugurado en febrero– de la Zona Arqueológica El Cerrito, en #Querétaro. La mayoría fueron recuperadas durante los trabajos de exploración en el sitio, tras 24 años de investigaciones arqueológicas.",https://pbs.twimg.com/media/D_K-7-nU0AArDbe.jpg,1562839620.0
6:27 PM - 10 Jul 2019,"#Entérate 

Bajo los principios de inclusión, no discriminación y transformación social, participamos en la #FeriaMandela  que se realiza durante tres días en la Biblioteca de México (@BiblioMexCddela).

Detalles  https://bit.ly/2NJUsf3 ",https://pbs.twimg.com/media/D_J8BufUEAAi2Hl.jpg,1562801220.0
10:40 AM - 10 Jul 2019,"#ArteMexicano 

A través de su obra, Saturnino Herrán (1887-1918) retrató las tradiciones y formas de vida de poblaciones que no eran miradas por otros pintores de la época.

Joven con calabaza (1917)",https://pbs.twimg.com/media/D_DM-HQXYAA5i6u.jpg,1562773200.0
8:20 PM - 9 Jul 2019,"Saturnino Herrán nació #UnDíaComoHoy de 1887.

¿Conoces su obra? ¡Disfrútala en el @MUNALmx!",https://pbs.twimg.com/media/D_FRMjUUEAEleD_.jpg,1562721600.0
7:53 PM - 9 Jul 2019,"#Entérate 

Firman @SEDATU_mx y Secretaría de Cultura convenio de colaboración para proteger patrimonio cultural de México.

Detalles  https://bit.ly/2JAA0bh ",https://pbs.twimg.com/media/D_FPHy4UwAA-wo9.jpg,1562719980.0
7:10 PM - 9 Jul 2019,"#HomenajeNacional 
Miguel León-Portilla

«Dios nunca muere» es una composición de Macedonio Alcalá. Gracias a su fama en #Oaxaca –de donde es originario su autor– este vals es considerado el himno del estado.",https://pbs.twimg.com/media/D_FD69dUYAA_h5x.jpg,1562717400.0
9:39 AM - 9 Jul 2019,"#EnLaLente 
   
Así lucía la ciudad de Cuernavaca hacia 1934. La imagen fue tomada por el fotógrafo Arnulfo Viveros, quien se encargó de retratar el estado de #Morelos, principalmente Cuernavaca y sus alrededores.",https://pbs.twimg.com/media/D_CzptFXYAArugF.jpg,1562683140.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

La planta baja es un espacio libre; tinacos, tubos e instalaciones eléctricas son visibles, a la vez que las escaleras ocupan una especial relevancia arquitectónica.

La parte más importante es el estudio, el cual sorprende por sus grandes dimensiones.",https://pbs.twimg.com/media/D-_e0eoXYAI1klU.jpg,1562624280.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

El trabajo de Juan O'Gorman (1905-1982), egresado de la Academia de San Carlos y de la Facultad de Arquitectura de la UNAM, lo convirtió en un protagonista de la arquitectura moderna de México.

Te contamos sobre algunas de sus más icónicas construcciones.",https://pbs.twimg.com/media/D-_cRHgWkAAy2gh.jpg,1562624280.0
10:01 AM - 8 Jul 2019,"Hoy continúa el #HomenajeNacional a Miguel León-Portilla 

¿Sabías que su obra ""Visión de los vencidos"" se ha traducido a diferentes lenguas?

Nos vemos en el @PalacioOficial, 20 h.",https://pbs.twimg.com/media/D-98y6XXoAIHD4D.jpg,1562598060.0
6:18 PM - 6 Jul 2019,"¡Te invitamos al concierto escénico en honor a Miguel Léon-Portilla! 

#HomenajeNacional

Lunes 8 de julio, 20 h
Sala Principal del @PalacioOficial 

Entrada libre | Cupo limitado",https://pbs.twimg.com/media/D-1VgjmUIAE6r7R.jpg,1562455080.0
10:03 AM - 12 Jul 2019,"#VeranoEsCultura 

En Lobito hipster, el clásico cuento toma un nuevo rumbo narrativo, pues la trama se detona cuando el lobo descubre que los cerdos hacen mal uso del agua y decide visitarlos. 

22 de julio (entrada libre)
17:00 h
C. Cultural Tijuana (@cecut_mx)",https://pbs.twimg.com/media/D_OV43_WsAAGZV1.jpg,1562943780.0
9:52 AM - 12 Jul 2019,"#Entérate 
 
¡@filminlatino celebra su cuarto aniversario con más cine! 

La plataforma de cine en línea del @imcine integrará producciones a su catálogo de más de dos mil títulos disponibles. 
  
Conoce los festejos con funciones especiales  https://bit.ly/2SfqNJt ",https://pbs.twimg.com/media/D_Si_EgXkAAzp5J.jpg,1562943120.0
5:26 PM - 11 Jul 2019,"#Entérate  Despiden al cronista mexicano Armando Ramírez. Familiares y colegas dicen adiós al escritor tepiteño con emotiva ceremonia en el @CCLXV.

Detalles  https://bit.ly/2XHQQ1O ",https://pbs.twimg.com/media/D_PAHZ0UIAApXUy.jpg,1562883960.0
5:04 PM - 11 Jul 2019,"Alejandra Frausto (@alefrausto), secretaria de Cultura de México, y @LucinaJimenez, titular del Instituto Nacional de Bellas Artes y Literatura (@bellasartesinba), acompañaron a la familia del autor de Crónica de los chorrocientos mil días del barrio de Tepito, en su último adiós",https://pbs.twimg.com/media/D_O7_IKU0AEwgb4.jpg,1562882640.0
4:45 PM - 11 Jul 2019,"#VeranoEsCultura 

¿Te interesa el diseño de producción?

El @CCCMexico y la @AcademiaCineMx te invitan a la clase magistral dictada por Paul Harrod, director de animación que trabajó como diseñador de producción en Isla de Perros (2018).

Detalles  https://bit.ly/2JCxAcl ",https://pbs.twimg.com/media/D_OVsgzX4AEJOMi.jpg,1562881500.0
11:15 AM - 11 Jul 2019,"In Memoriam 

Amigos y familiares del cronista Armando Ramírez se congregan en el @CCLXV para despedirlo. – at Centro de Creación Literaria Xavier Villaurrutia",https://pbs.twimg.com/media/D_NsmcKWsAEDqeu.jpg,1562861700.0
6:28 AM - 11 Jul 2019,"El Instituto Nacional de Lenguas Indígenas marca pauta para lograr una política multilingüe. Para ello es necesario desterrar la visión folclórica y patrimonialista que se tiene de las lenguas indígenas.

Conoce el @INALIMEXICO  https://www.inali.gob.mx ",https://pbs.twimg.com/media/D_Ku73lUEAA-UOO.jpg,1562844480.0
6:27 PM - 10 Jul 2019,"Asimismo queremos difundir el desarrollo de proyectos artísticos que han trascendido las fronteras de la reclusión. 

Hoy la @CNDH y la Secretaría de Cultura firmamos un convenio de colaboración con el objetivo de llevar prácticas culturales a los Centros Penitenciarios.",https://pbs.twimg.com/media/D_KET1LU0AAcGLM.jpg,1562801220.0
11:35 AM - 10 Jul 2019,"#ArteMexicano 

Las pinturas de Saturnino Herrán (1887-1918) tienen una ambientación paisajística, rural o urbana y sus protagonistas son personajes indígenas, mestizos o criollos, elementos que ponen en marcha una iconografía nacionalista.

La criolla del rebozo (1916)",https://pbs.twimg.com/media/D_DNR1AWkAA1TQi.jpg,1562776500.0
8:12 AM - 10 Jul 2019,"#PensarGénero 

El semanario Vésper se publicó originalmente en #Guanajuato, pero debido a los temas que tocaba y la crítica que realizaba contra la Iglesia y el porfiriato, pronto sus realizadoras fueron denunciadas, su prensa fue decomisada y tuvieron que escapar del estado.",https://pbs.twimg.com/media/D_DsjTAWwAASnFx.jpg,1562764320.0
3:45 PM - 9 Jul 2019," ¡Que no se te pase! Museos del @INAHmx y el INBAL (@bellasartesinba) te esperan durante la temporada de #VeranoEsCultura. 

Nuestros recintos ofrecen una oferta cultural diversa para todas las familias.

Detalles  https://bit.ly/2NGn2hn ",https://pbs.twimg.com/media/D_Duz-cWwAAzzTu.jpg,1562705100.0
11:15 AM - 9 Jul 2019,"#ArteMexicano 

A través de su obra retrató las tradiciones y formas de vida de poblaciones que no eran miradas por otros pintores de la época.

Mujer con calabaza (1917)",https://pbs.twimg.com/media/D_DM-HQXYAA5i6u.jpg,1562688900.0
11:15 AM - 9 Jul 2019,"#ArteMexicano 

El tema recurrente en las obras de Herrán son las costumbres cotidianas del pueblo de México, por lo que se le conoce como un costumbrista.

La ofrenda (1908)",https://pbs.twimg.com/media/D_DLn-ZWsAAa177.jpg,1562688900.0
7:37 AM - 9 Jul 2019,"#Entérate  Inauguran exposición gráfica ""Los Niños y las Niñas tenemos Derecho a tener Derechos"". Imágenes de 29 artistas de América Latina y el Caribe celebran los logros alcanzados en el cumplimiento de los derechos de la infancia y la adolescencia.  https://bit.ly/2S28GXi ",https://pbs.twimg.com/media/D_CknIAXYAACKjf.jpg,1562675820.0
6:18 AM - 8 Jul 2019,"¡Buenos días!  Las y los esperamos ESTA NOCHE en el @PalacioOficial de @bellasartesinba, para disfrutar del concierto escénico que presenta la @OSN_MX en honor al tlamatini Miguel León-Portilla. 

Lunes 8 de julio, 20 h | #EntradaLibre | Cupo limitado",https://pbs.twimg.com/media/D-9JQCKU8AIHAu3.jpg,1562584680.0
9:28 AM - 11 Jul 2019,"¡No te pierdas la apertura de la muestra Joyería en papel! 

Es una exposición de piezas realizadas con papel artesanal, diseñadas por Kiff Slemmons y elaboradas por la cooperativa Arte Papel Vista Hermosa de San Agustín Etla, Oaxaca.

 La cita es este sábado 13 de julio.",https://pbs.twimg.com/media/D_NT3YYXUAAIfKB.jpg,1562855280.0
9:39 AM - 10 Jul 2019,"#ArteMexicano 

El tema recurrente en las obras de Saturnino Herrán (1887-1918) son las costumbres cotidianas del pueblo de México, por lo que se le considera un costumbrista.

La ofrenda (1908)",https://pbs.twimg.com/media/D_DLn-ZWsAAa177.jpg,1562769540.0
6:28 AM - 10 Jul 2019,"#Entérate  @Fonart_mx y Fomento Cultural Banamex lanzan convocatorias de Arte Popular 2019: XLIV Concurso Gran Premio Nacional de Arte Popular, VI Concurso Nacional Grandes Maestros del Patrimonio Artesanal y XXIII Concurso Nacional de Nacimientos.  https://bit.ly/2JqXGAf ",https://pbs.twimg.com/media/D2BzxfgWoAIAn4f.jpg,1562758080.0
7:10 PM - 9 Jul 2019,"#HomenajeNacional 
Miguel León-Portilla

«La noche de los Mayas» y «Janitzio» son obras musicales sinfónicas de la autoría del compositor modernista Silvestre Revueltas, quien nació en el estado de #Durango el 31 de diciembre 1899, fue violinista y director de orquesta. ",https://pbs.twimg.com/media/D_E_xVdUIAA7vEt.jpg,1562717400.0
12:03 PM - 9 Jul 2019,"#Entérate 

Música y letras resonaron el Palacio de Bellas Artes (@PalacioOficial) en homenaje a Miguel León-Portilla. El concierto de la Orquesta Sinfónica Nacional (@OSN_MX) contó con un repertorio de obras relacionadas al mundo indígena.

Detalles  https://bit.ly/2S43EcV ",https://pbs.twimg.com/media/D_Dj39VXkAccMx-.jpg,1562691780.0
11:15 AM - 9 Jul 2019,"#ArteMexicano 

La mayoría de sus pinturas incluyen una ambientación paisajística, rural o urbana y tienen como protagonistas a personajes indígenas, mestizos o criollos que en conjunto ponen en marcha una iconografía nacionalista. 

La criolla del rebozo (1916)",https://pbs.twimg.com/media/D_DNR1AWkAA1TQi.jpg,1562688900.0
9:39 AM - 9 Jul 2019,"#EnLaLente 

Algunas de las imágenes tomadas por Viveros estaban destinadas a la impresión de postales que él mismo vendía o regalaba en la Botica Morelos, en la capital del estado.

Hombres afuera de un jacal (1920) / Operarios en el Ingenio de Zacatepec (1937)",https://pbs.twimg.com/media/D_C1GLAXUAAAn0d.jpg,1562683140.0
9:39 AM - 9 Jul 2019,"#EnLaLente 
   
Entre las fotos se hallan registros de la vida cotidiana y del trabajo en la fábrica conocida como el Ingenio de Zacatepec, así como la construcción de la carretera México-Acapulco.

En la imagen se observa una manifestación antifascista en Cuernavaca en 1933.",https://pbs.twimg.com/media/D_C1AI-WkAAzLC0.jpg,1562683140.0
6:35 PM - 8 Jul 2019,"""El inmenso dolor que reside en el corazón marchita el cuerpo sin ablandar el espíritu en su inmenso deseo. / Y es un deseo/ que quema la sangre/ que sacude los nervios (...) sin ablandar la energía del espíritu, que ama su propia vida- el deseo de ser-"".

Nahui Olin (1893-1978)",https://pbs.twimg.com/media/D--px4tXoAEChoe.jpg,1562628900.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

La Casa Estudio de Frida cuenta con un espacio mayoritariamente abierto. Las puertas, ventanas e instalación eléctrica son iguales a la casa de Diego.

Este conjunto es conocido como las tres casas-estudio y actualmente albergan el @museoestudioDR.",https://pbs.twimg.com/media/D-_gIeGXsAUZ87V.jpg,1562624280.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

La Casa Estudio Diego Rivera fue una construcción iniciada en 1931 por O'Gorman por encargo del muralista mexicano.

Ella evidencia la influencia en O'Gorman de una obra de Le Corbusier de 1922; se trata de la casa estudio de Ozenfant, en París.",https://pbs.twimg.com/media/D-_ejcLWsAEQTj9.jpg,1562624280.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

La fachada norte de la Casa de Juan O'Gorman, construida hacia 1929, es casi ciega con dos ventanas altas y horizontales en cada piso. Los muros son aplanados de block de barro, el cableado está a la vista y las ventanas y puertas tienen perfiles metálicos.",https://pbs.twimg.com/media/D-_dPOWW4AAMSbF.png,1562624280.0
12:57 PM - 8 Jul 2019,Recibimos apoyo internacional para atender las causas de la migración y  logramos que el G-20 adopte el tema como prioritario.  #Entérate en el  resumen de la #ConferenciaPresidente ,https://pbs.twimg.com/media/D--nAafWsAEgvF6.jpg,1562608620.0
4:16 PM - 7 Jul 2019,"#Convocatorias 

¡Difunde la cultura y colabora en el programa Más Allá de #Guanajuato de la edición 47 del @cervantino!

Consulta la convocatoria completa en https://bit.ly/2NhruTS ",https://pbs.twimg.com/media/D-4mAoWUcAUBfiV.jpg,1562534160.0
8:12 AM - 10 Jul 2019,"#PensarGénero 

Una vez en la Ciudad de México, Gutiérrez continuó con la publicación de Vésper, no sin enfrentarse a la censura, persecución y encarcelamiento.

El periódico dejó de imprimirse en 1911, aunque tuvo una breve y efímera etapa de resurgimiento en 1932.",https://pbs.twimg.com/media/D_Dr_s_XUAIE1Li.jpg,1562764320.0
8:12 AM - 10 Jul 2019,"#PensarGénero 

Vésper fue fundado por Juana Belén Gutiérrez, una periodista que luchaba por los derechos de las mujeres y los derechos laborales de los mineros.

Gutiérrez trabajó en periódicos como El Desmonte, Diario del Hogar, El hijo del Ahuizote, La Reforma, entre otros.",https://pbs.twimg.com/media/D_DrbiSWsAEd4Fm.jpg,1562764320.0
7:10 PM - 9 Jul 2019,"#HomenajeNacional 
Miguel León-Portilla

«Sinfonía India» es una obra fundamental del fundador de la @OSN_MX, el compositor, director de orquesta, pianista, funcionario, profesor y periodista Carlos Chávez y Ramírez (1899-1978).",https://pbs.twimg.com/media/D_FCbHgU8AE2Vpb.jpg,1562717400.0
9:39 AM - 9 Jul 2019,"#EnLaLente 
   
El acervo se conforma por 71 piezas que datan de las décadas de 1920 y 1930. Se trata de hermosas vistas panorámicas influidas por el paisajismo.

En la imagen se observa a un hombre caminando con un burro sobre la calle de Tepetalco, Cuernavaca, en 1935.",https://pbs.twimg.com/media/D_CzvWVWwAUe3iA.jpg,1562683140.0
8:14 AM - 9 Jul 2019,"#Entérate 

Porque el #VeranoEsCultura, la edición XII del Festival Estación verano. Tren de inventores ofrece una variada oferta cultural en #Puebla y otras entidades. 

Serán 24 sedes con talleres, arte y cine, bajo la reflexión de la movilidad humana. https://bit.ly/2Xz9Fzd ",https://pbs.twimg.com/media/D_Cvps8XUAE8NUR.jpg,1562678040.0
7:01 AM - 9 Jul 2019,"#DiplomaciaCultural 

El rey de sí mismo es una de las obras de teatro que se presentan en el @festivalalmagro de España, donde México es país invitado de honor.

Se trata de una comedia de ficción histórica a propósito de Juan Ruiz de Alarcón y Mendoza, dramaturgo taxqueño.",https://pbs.twimg.com/media/D_CamB7U0AI0m0l.jpg,1562673660.0
5:18 PM - 8 Jul 2019,"#Arquitectura  

En el comedor se encontraba el mural ""Entre la filosofía y la ciencia hay bastante diferencia"", pieza realizada por el propio O'Gorman. 

Uno de los espacios más importantes es el estudio, pues constituye una innovación en la arquitectura moderna mundial.",https://pbs.twimg.com/media/D-_eQWGXYAAUr7X.png,1562624280.0
5:18 PM - 8 Jul 2019,"#Arquitectura 

La Casa de Juan O'Gorman es considerada la primera casa moderna de México, pues incorporó innovaciones y desafíos arquitectónicos. 

Tiene un jardín limitado por columnas, una escalera helicoidal, terrazas definidas por tecorrales y cercas de cactos.",https://pbs.twimg.com/media/D-_c5fuXYAA6Xcs.jpg,1562624280.0
3:05 PM - 8 Jul 2019,"¿Sabías que el @GobiernoMX cuenta con 30 proyectos y programas prioritarios diseñados para apoyar a los más necesitados? 

¡Conócelos!

 https://www.gob.mx/proyectosyprogramasprioritarios …

#ProyectosPrioritarios | #ProgramasPrioritarios",https://pbs.twimg.com/media/D--iwWLXYAEUTUy.jpg,1562616300.0
2:24 PM - 8 Jul 2019,"Este martes 9 de julio conmemoramos el 125 aniversario luctuoso del músico y compositor guanajuatense Juventino Rosas.

@memoriademexico invita al sorteo del Premio Mayor de la @lotenal en honor al autor del vals «Sobre las olas». ",https://pbs.twimg.com/media/D--yYK8XoAERJ88.jpg,1562613840.0
11:58 AM - 8 Jul 2019,"“Mas dentro de la enorme mole(...) existe una fuerza dinámica que acumula de instante en instante una potencia tremenda de rebeldías, que pondrán en actividad su alma encerrada(...) en leyes humanas de feroz tiranía”.

Bajo la mortaja de nieve duerme la Iztatzihuatl. Nahui Olin.",https://pbs.twimg.com/media/D--ZKRFW4AAARhI.jpg,1562605080.0
11:58 AM - 8 Jul 2019,"“Bajo la mortaja de leyes humanas, duerme la masa mundial de mujeres, en silencio eterno, en inercia de muerte, y bajo la mortaja de nieve- son la Iztatzihuatl, en su belleza impasible, en su masa enorme, en su boca sellada por nieves perpetuas, -por leyes humanas-“.",https://pbs.twimg.com/media/D--ZDY_XoAAUPKi.jpg,1562605080.0
9:19 AM - 8 Jul 2019,"#Entérate 

Docentes de Iberorquestas Juveniles analizan la pedagogía musical de Costa Rica, España, El Salvador, México y Panamá. Se trata del proyecto de retroalimentación de cooperación multilateral que se realizó del 1 al 7 de julio.

Detalles  https://bit.ly/2La8o04 ",https://pbs.twimg.com/media/D-9zMrpWkAIFOhH.jpg,1562595540.0
6:48 PM - 7 Jul 2019,"#Convocatorias 

Atención a todas y todos los escritores e ilustradores de #BajaCaliforniaSur, ¡tu trabajo puede ser publicado!

Consulta las bases del Séptimo Concurso Sudcaliforniano de Libro Álbum 2019   https://bit.ly/2WnUPfg ",https://pbs.twimg.com/media/D-4jC5TU8AIumq_.jpg,1562543280.0
3:38 PM - 7 Jul 2019," En esta pintura de Frida Kahlo, la lluvia blanca representa la explicación que su nodriza le dio sobre la lluvia: “Las gotas de lluvia son leche de la Virgen"". 

¿Cuál es tu obra favorita de Kahlo?

¿Qué tanto sabes de su vida? Te contamos  https://bit.ly/2JgomU5 ",https://pbs.twimg.com/media/D-2a0nZXkAA9Qon.jpg,1562531880.0
