Fecha - Hora,Cuenta,Contenido,Imagen,Timestamp
3:17 PM - 30 May 2019,Secretaría Cultura,"""Yo fui novia del Blue Boy

de un árabe del desierto

de un músico de concierto

y en el infierno ahora estoy (...)

Ya es mi locura total

estoy por ti encarcelada

en la cárcel de la nada""

Yo fui novia. Pita Amor.",https://pbs.twimg.com/media/D71EZfbX4AYqcNu.jpg,1559247420.0
3:00 PM - 30 May 2019,Secretaría Cultura,"#Entérate 

@Canal22 devela quiénes son los ""millennials"", cómo viven y qué piensan, a través de una serie de reportajes documentales. ""Millennials"" contra el milenio, serie de ocho capítulos, se transmitirá hasta el 12 de julio los viernes, 21:30 h.

 https://bit.ly/2Mi3HCE ",https://pbs.twimg.com/media/D72NAOfW4AEHNCE.jpg,1559246400.0
12:33 PM - 30 May 2019,Secretaría Cultura,"""El manequí no se mueve,

está en la sombra sombrío

escala el escalofrío;

tiene el semblante de nieve

a las siete y a las nueve

El manequí se movió,

el manequí caminó

hasta el biombo misterioso

del espacio milagroso:

hasta el cero del reloj""

¡El manequí! Pita Amor.",https://pbs.twimg.com/media/D71C1LBWsAEO08b.jpg,1559237580.0
12:21 PM - 30 May 2019,Secretaría Cultura,"¿Sabías que las entidades con mayor presencia de población afromexicana son #Guerrero (6.5%), #Oaxaca (4.9%) y #Veracruz (3.3%)?

En México, de acuerdo el @INEGI_INFORMA, el 1.16% de la población nacional se identifica como afromexicana. Conoce más  https://bit.ly/2MjnBwX ",https://pbs.twimg.com/media/D71oAZyVsAA3Eci.jpg,1559236860.0
10:30 AM - 30 May 2019,Secretaría Cultura,"""En tu féretro sombrío
 
Reposas eternamente

Pero en la noche inclemente

Revives y abres el frío

Vidrio de tu ataúd ya vacío (...)

Sustraes la sangre mortal

Tu vampiro criminal

Y a tu catafalco vuelas

Para dormir entre velas""

El Vampiro. Pita Amor.",https://pbs.twimg.com/media/D71BBNGXYAI83rS.jpg,1559230200.0
9:32 AM - 30 May 2019,Secretaría Cultura," ""Retorno al origen"" es un proyecto de recuperación de la memoria histórica de los pueblos de la sierra mazateca que tuvieron relación con los hermanos Flores Magón (Jesús, Ricardo y Enrique), el cual se presenta este viernes 31 de mayo en San Jerónimo Tecóatl, #Oaxaca. ",https://pbs.twimg.com/media/D71Bl8OUIAAbhip.png,1559226720.0
9:32 AM - 30 May 2019,Secretaría Cultura,"#Entérate 

¡Buscamos recuperar la memoria histórica de los pueblos mazatecos con el proyecto ""Retorno al origen""!

Exposiciones y talleres forman parte de esta iniciativa del programa #CulturaComunitaria  que se realizará en ocho municipios de #Oaxaca.",https://pbs.twimg.com/media/D71BcS-U0AA0eB_.jpg,1559226720.0
8:48 AM - 30 May 2019,Secretaría Cultura,"Hoy conmemoramos el natalicio de la poeta Guadalupe “Pita” Amor  (1918-2000), quien fue nombrada por Salvador Novo como la ""undécima  musa"" y comparada con Sor Juana Inés de la Cruz por su talento.

""Creo que lo más importante de mí es lo que no he dicho"", decía sobre sí misma.",https://pbs.twimg.com/media/D704E-FXYAAQUfT.jpg,1559224080.0
7:40 AM - 30 May 2019,Secretaría Cultura,"#Entérate 

Recibe Biblioteca Vasconcelos (@VSCLS) reconocimiento a su labor cultural y educativa. En el marco de su 13 aniversario, el recinto es laureado con las preseas ""Jaguar Internacional de las Artes"" y ""Ángel de la Independencia"".
 
Detalles  https://bit.ly/2EICpit ",https://pbs.twimg.com/media/D70nXGCUYAACfGk.jpg,1559220000.0
6:38 AM - 30 May 2019,Secretaría Cultura,"#Entérate 

Inician los laboratorios creativos Alas de Palabra y Cinema-raíz dirigidos a niñas, niños y adolescentes.

Municipios de #Tlaxcala y #Oaxaca serán sedes de estos proyectos artísticos coordinados por @AlasyRaices.

Detalles  https://bit.ly/2YUHn3h ",https://pbs.twimg.com/media/D7ydLwrUYAAqDeS.jpg,1559216280.0
5:48 AM - 30 May 2019,Secretaría Cultura,"¡Buenos días! 

El dios Tláloc, ""el que hace brotar"", era la representación del agua divinizada que residía en las más altas montañas donde se forman las nubes. 

Su más importante adoratorio se ubicaba en el Templo Mayor de Tenochtitlan, al lado de Huitzilopochtli. ",https://pbs.twimg.com/media/D70Njo8VsAAKkev.jpg,1559213280.0
6:02 PM - 29 May 2019,Secretaría Cultura,"#RumboAlAriel 

En la @CinetecaMexico se realizará una multipremier donde se exhibirán los cinco filmes nominados a Mejor Película: ""La camarista"", ""Las niñas bien"", ""Museo"", ""Nuestro tiempo"" y ""Roma"".  https://bit.ly/2IgblbB  

Museo (2018)",https://pbs.twimg.com/media/D7wKRa0WsAEjuhG.jpg,1559170920.0
5:26 PM - 29 May 2019,Secretaría Cultura,"#RumboAlAriel 

Producciones nominadas en la LXI edición del Ariel se exhiben en 21 sedes en todo el país hasta el 24 de junio con el fin de difundir el #CineMexicano nominado a este premio  https://bit.ly/2IgblbB 

Las niñas bien (2019)",https://pbs.twimg.com/media/D7wJtENWkAESbXv.jpg,1559168760.0
5:05 PM - 29 May 2019,Secretaría Cultura,"#MesDeLosMuseos 

¿Sabías que algunos pueblos prehispánicos utilizaban las trompetas de caracol para entrar en contacto con el mundo espiritual? 

Esta trompeta se encuentra en #Jalisco, en el Museo Regional de Guadalajara.",https://pbs.twimg.com/media/D7SHm6bWkAE7GQx.jpg,1559167500.0
9:13 AM - 29 May 2019,Secretaría Cultura,"""Suelta a tu canario que quiere volar...

Yo soy el canario, hombre pequeñito,

déjame saltar.

Estuve en tu jaula, hombre pequeñito,

hombre pequeñito que jaula me das.

Digo pequeñito porque no me entiendes,

ni me entenderás...""

Alfonsina Storni. “Hombre pequeñito”.",https://pbs.twimg.com/media/D7rBnHxWwAEwQDy.jpg,1559139180.0
