Fecha - Hora, Cuenta, Contenido, Imagen
7:39 AM - 13 Jul 2019,Secretaría Cultura," La convocatoria cierra este domingo 

Forma parte de la Red #FotoMéxico, un espacio creado para mostrar la pluralidad y diversidad de la producción fotográfica en el país.

¡Participa!  http://bit.ly/2I7xZEj ",https://pbs.twimg.com/media/D_XCGLiUcAAkT9w.jpg
6:58 AM - 13 Jul 2019,Secretaría Cultura,"Recordamos a #FridaKahlo en su aniversario luctuoso.

¿Has visitado el @museofridakahlo? ¡Conócelo!",https://pbs.twimg.com/media/D_UejxVUcAAZqL3.jpg
7:14 PM - 12 Jul 2019,Secretaría Cultura,"#Entérate 

Desde la Secretaría de Cultura y la Secretaría de @Hacienda_Mexico anunciamos la ventana extraordinaria para el estimulo fiscal #Efiartes. 

Detalles  https://bit.ly/30umZqz ",https://pbs.twimg.com/media/D_UjZ67VAAAVZiJ.jpg
6:58 PM - 12 Jul 2019,Secretaría Cultura,"#FinDeSemana 

¡Museos conmemoran a #FridaKahlo!

Distintos recintos celebran con actividades especiales el aniversario luctuoso de la pintora. ¿Cuáles? Te contamos  https://bit.ly/2NSWNo0 ",https://pbs.twimg.com/media/D_UV5xWUwAAhKo-.jpg
6:18 PM - 12 Jul 2019,Secretaría Cultura,"#Entérate  Disfruta ritmos cubanos, danzón y bolero en el Museo Nacional de Culturas Populares. Los días 13, 19 y 21 de julio Radio Cafetal, la agrupación Felipe Urbán y su Danzonera, y las Hermanas García musicalizarán las tardes del @MNCP_DGCP.  https://bit.ly/32m09mJ ",https://pbs.twimg.com/media/D_UIfNuVUAEruEZ.jpg
5:37 PM - 12 Jul 2019,Secretaría Cultura,"#Entérate  Presentan en #Morelos Estampas zapatistas, obra de teatro comunitaria con colaboración institucional. Detalles  https://bit.ly/2XKUV0z  2019 | Año del Caudillo del Sur",https://pbs.twimg.com/media/D6ItqAyV4AI3Gze.jpg
5:12 PM - 12 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

Triciclo Circus Band formará parte del Festival Estación de Verano en #Puebla. 

No te pierdas su concierto y demás actividades como charlas, cine y presentaciones artísticas que organiza el @ferrocarriles. 

Detalles  https://bit.ly/30whMi1 ",https://pbs.twimg.com/media/D_OfJN4XoAAiAva.jpg
4:26 PM - 12 Jul 2019,Secretaría Cultura,"""Vienes volando, solo, solitario,

solo entre muertos, para siempre solo,

vienes volando sin sombra y sin nombre,

sin azúcar, sin boca, sin rosales,

vienes volando""

Alberto Rojas Jiménez viene volando. Pablo Neruda (1904-1973)",https://pbs.twimg.com/media/D_Sop5fXoAA9xs-.jpg
2:12 PM - 12 Jul 2019,Secretaría Cultura,"""Sucede que me canso de mis pies y mis uñas
y mi pelo y mi sombra

Sucede que me canso de ser hombre

No quiero para mí tantas desgracias

No quiero continuar de raíz y de tumba,

de subterráneo solo, de bodega con muertos,

aterido, muriéndome de pena""

Pablo Neruda (1904-1973)",https://pbs.twimg.com/media/D_SobiVX4AI5TK8.jpg
12:37 PM - 12 Jul 2019,Secretaría Cultura,"#Entérate 

La Orquesta Escuela Carlos Chávez cierra semestre en el @cenartmx y el @CC_LosPinos  

El público presenciará la interpretación de Eduardo Vázquez Castro, quien hará su examen de titulación con una pieza de Dmitri Shostakóvich.

Detalleshttps://bit.ly/2XZs9gS ",https://pbs.twimg.com/media/D_TIu2JWkAEyLQM.jpg
10:32 AM - 12 Jul 2019,Secretaría Cultura,"""Ah tiempo parecido al agua cruel

de la ciénaga al abierto pozo

de noche que se traga un niño

y no se sabe y no se escucha el grito.

Y siguen las estrellas en su sitio"".

Pablo Neruda (1904-1973)",https://pbs.twimg.com/media/D_SoMlpXYAAkKxM.jpg
